Open,High,Low,Close,VWAP,Volume,Turnover,upB,midB,lowB,RSI,K,MACD,EMA,ADX,AroonUp,AroonDown,diff
989.9,989.9,952.1,964.3,964.47,2403864,231845632919999.97,1010.2894910441996,969.5199999999995,928.7505089557994,49.9624649982538,75.75440670507314,-7.18019290251371,940.6792219758221,36.22864583033333,14.285714285714286,92.85714285714286,37.799999999999955
968.0,968.0,932.05,937.85,949.75,1684270,159963474425000.0,1007.4914809652291,970.3949999999995,933.2985190347699,40.46514912348309,70.31708908225339,-9.865579850604924,940.496691525769,34.466331312204986,100.0,85.71428571428572,35.950000000000045
937.0,937.0,897.0,918.35,919.63,2311978,212616625900000.0,1009.3937162659715,969.9074999999996,930.4212837340276,35.013162403154965,66.97320962776294,-12.576863244208361,939.067872717655,34.02069865847257,100.0,78.57142857142857,40.0
920.0,935.55,905.0,931.65,922.35,1916844,176799689225000.0,1011.1705814119854,968.7949999999995,926.4194185880136,41.03391093415147,62.74293995286469,-13.040363483894584,938.5893002842579,33.60689690857818,92.85714285714286,71.42857142857143,30.549999999999955
935.55,980.2,935.55,943.2,947.26,2183961,206878032685000.0,1011.5888149617073,967.8249999999996,924.0611850382919,45.87262423390812,58.99917745154876,-12.152658626546248,938.8867647820477,31.227572056210388,85.71428571428572,64.28571428571429,44.65000000000009
945.0,954.8,933.6,938.05,945.31,1480243,139928888695000.0,1012.2424516884935,966.6399999999996,921.0375483115058,44.08054480325702,54.96574730567393,-11.50263616556925,938.8327799573995,29.09041965691528,78.57142857142857,57.142857142857146,21.199999999999932
944.6,946.0,927.5,937.5,937.28,1057846,99149887415000.0,1012.2751741523936,964.9924999999996,917.7098258476057,43.87714292398422,51.203973747624175,-10.715885589353555,938.7467941536962,27.338797546153394,71.42857142857143,50.0,18.5
940.0,946.0,913.25,921.6,924.51,1264465,116901059400000.0,1013.5394090551197,962.6624999999995,911.7855909448792,38.213262786228256,46.39762864967851,-10.839856713361229,937.6405493695868,26.235331310252878,64.28571428571429,42.85714285714286,32.75
925.0,925.0,902.5,915.05,915.24,1668526,152710928090000.0,1015.6754296929785,960.9849999999994,906.2945703070204,36.081392994972774,42.978332215567036,-10.90675040146209,936.183094571549,25.57998417996066,57.142857142857146,35.714285714285715,22.5
917.9,932.9,890.0,900.9,916.36,2029547,185980044105000.0,1017.4535275820211,957.2874999999997,897.1214724179782,31.82027886477112,39.185273852642524,-11.394517935483872,933.9067658895135,25.376964810082182,100.0,28.571428571428573,42.89999999999998
904.85,916.0,890.0,909.7,905.73,1846234,167218865200000.0,1016.1171051855338,953.6749999999996,891.2328948144655,36.96438135535164,34.54298303956777,-10.629925666452127,932.345039057932,25.18844682376645,100.0,21.42857142857143,26.0
890.0,1020.0,850.0,891.35,902.36,3021792,272675847255000.03,1014.8067908005371,948.8524999999996,882.8982091994621,31.464146490329426,30.11987183704481,-10.828881547122116,929.700197828388,25.25238562354922,100.0,100.0,170.0
885.0,887.4,855.0,882.85,879.19,1716451,150908977230000.0,1013.821808818025,943.8649999999996,873.9081911819741,29.225908990217313,25.021833103977496,-10.968055944864119,926.6776044201049,25.31175736620465,92.85714285714286,92.85714285714286,32.39999999999998
887.4,939.75,887.4,913.1,906.22,767839,69582751295000.01,1008.9554165136475,940.3199999999995,871.6845834863515,44.76340570405246,23.95396527888136,-8.564531824319896,925.8016299413885,26.36186188328852,85.71428571428572,85.71428571428572,52.35000000000002
920.0,941.75,914.15,937.65,930.72,1770106,164748132275000.0,1006.5667619328694,938.9199999999995,871.2732380671296,53.891346199423275,25.404292867543948,-5.03753062211068,926.5660409129118,27.369925213856256,78.57142857142857,78.57142857142857,27.600000000000023
940.0,971.0,935.15,961.7,954.42,2610414,249142851419999.97,1005.6949193548057,938.5799999999996,871.4650806451934,60.92067742932533,29.598129896026226,-1.011674262228178,928.8327479507885,28.765522307015573,71.42857142857143,71.42857142857143,35.85000000000002
930.0,969.85,906.6,958.95,961.95,1554948,149578456510000.0,1002.0173708095258,937.3599999999997,872.7026291904735,59.7631268379075,32.88348810710727,1.4078052232271419,930.7757964700925,28.99090381977599,64.28571428571429,64.28571428571429,63.25
962.85,967.0,950.2,953.85,958.84,1151327,110393399240000.02,994.4697137365621,935.2149999999996,875.9602862634371,57.51135776063716,35.14947585813989,2.5404255090103325,932.2644547623446,29.200186653053525,57.142857142857146,57.142857142857146,16.799999999999955
967.0,967.8,951.1,956.9,957.9,779334,74652695880000.0,983.1848738916783,932.7074999999998,882.2301261083212,58.54915166620872,36.844462327303816,3.321417368601214,933.8538447776772,29.41058947359402,50.0,50.0,16.699999999999932
951.1,980.0,911.6,976.05,965.54,1748324,168807072795000.0,982.3555089407756,932.5274999999996,882.6994910592235,64.58397437182352,39.65581398661161,4.860968664449555,936.5761773726657,28.1953286203558,42.85714285714286,42.85714285714286,68.39999999999998
977.5,1007.75,977.5,1002.15,997.89,2899282,289316578395000.0,991.3064166563595,934.4199999999997,877.53358334364,70.98178047475446,43.59709727958982,7.227718128963031,940.8067465744292,27.70250935390379,35.714285714285715,35.714285714285715,30.25
1003.0,1004.0,971.0,976.45,986.79,1678852,165666649115000.0,996.1171816300542,936.3499999999998,876.5828183699454,59.267897560180586,47.42101837345109,6.666642044918351,943.1063113115628,27.028428928124317,28.571428571428573,28.571428571428573,33.0
971.0,976.45,942.2,958.65,964.78,1141499,110129371120000.0,998.286057233657,938.365,878.4439427663431,52.58915706409783,50.893529411764725,4.788839082320081,944.1091299366233,25.502699262566182,21.42857142857143,21.42857142857143,34.25
