Open,High,Low,Close,VWAP,Volume,Turnover,upB,midB,lowB,RSI,K,MACD,EMA,ADX,AroonUp,AroonDown,diff
515.0,519.85,500.0,506.8,509.09,83723,4262236540000.0,630.9869152036865,551.1249999999999,471.2630847963133,42.48545736032172,25.549744803118703,-0.6213802485352744,572.8690832603337,18.045411138717856,64.28571428571429,21.42857142857143,19.850000000000023
519.9,520.0,466.65,478.95,498.3,45764,2280412010000.0,630.5305252727863,546.0325,461.5344747272137,36.92882381267062,25.221237207050788,-1.6931983048516486,566.8097875661186,18.457642721627213,57.142857142857146,14.285714285714286,53.35000000000002
498.0,498.0,455.0,461.9,470.9,79049,3722426190000.0,624.4412746228913,538.425,452.40872537710857,33.91179848539443,25.013532623877033,-3.068355224310743,560.0414141747561,19.043259504927157,50.0,7.142857142857143,43.0
447.0,463.0,436.05,448.5,456.09,52550,2396743255000.0,618.0300337317951,530.2975,442.5649662682049,31.653539893018635,23.408326332760403,-4.321623193325031,552.8451939054171,19.908142245032828,100.0,0.0,26.94999999999999
440.0,451.95,417.5,424.95,425.44,269364,11459697395000.0,616.1680947497724,521.9475,427.72690525022756,28.011068662522703,20.95221403709587,-6.070694586036197,544.5938910728096,21.009712358669322,100.0,0.0,34.44999999999999
439.0,439.0,415.1,421.75,420.61,391481,16466025915000.0,606.822351001158,512.4425,418.06264899884195,27.532725460195778,19.830292059783318,-6.726310947176479,536.6684787455315,22.071333237913358,100.0,0.0,23.899999999999977
405.35,428.0,388.05,410.7,418.18,166930,6980751809999.999,607.2515928125042,505.23,403.2084071874959,25.8396864748408,20.04224060030549,-7.1478404229939585,528.5414801167875,23.480264876080465,100.0,0.0,39.94999999999999
411.0,421.6,408.1,410.7,414.21,109056,4517213565000.0,603.4769932818791,497.49500000000006,391.51300671812106,25.839686474840796,20.246990958003558,-6.679074943072187,520.9388039802205,24.788558540092776,92.85714285714286,42.85714285714286,13.5
402.35,424.95,402.35,420.0,421.55,125018,5270170525000.0,599.3557019560901,491.0375000000001,382.71929804391004,30.293448462248733,20.224987213060636,-5.068136057490804,514.4266230782708,26.09597479348761,85.71428571428572,35.714285714285715,22.599999999999966
433.0,449.95,428.05,437.85,435.6,524250,22836114840000.0,587.1446778883101,484.0750000000001,381.00532211169013,38.20758241165874,21.176698505525163,-2.268560754255816,509.4861957828985,26.344992561187603,78.57142857142857,28.571428571428573,21.899999999999977
439.0,480.5,439.0,451.4,451.69,146863,6633617715000.0,568.7265515262882,477.13250000000005,385.5384484737119,43.60775622616905,21.914087486927492,0.8600250188015721,505.738699280776,25.553274203267456,71.42857142857143,21.42857142857143,41.5
436.0,455.0,436.0,446.25,447.05,39059,1746117130000.0,555.045280166796,471.3450000000001,387.64471983320414,42.05564695107969,21.57791505568716,2.8354720600117886,501.90071868201625,24.888033449749873,64.28571428571429,14.285714285714286,19.0
437.0,452.0,432.05,436.05,440.73,15178,668935920000.0,545.4172946862986,466.255,387.0927053137013,39.00084536836512,21.207417922474065,3.6558560692771067,497.6522852186604,24.36673672867453,57.142857142857146,7.142857142857143,19.94999999999999
435.0,435.0,426.0,429.85,429.75,53978,2319716655000.0,538.8283220552471,461.86,384.8916779447529,37.17702392347036,20.710700664375914,3.9562012818079992,493.2779442368113,24.035112164667964,50.0,0.0,9.0
408.4,442.5,408.4,437.55,437.42,14333,626954975000.0,529.9523292409103,457.61,385.2676707590897,40.98527201497094,21.061677359731167,4.792900203120659,489.68259299572674,24.157462772360013,42.85714285714286,7.142857142857143,34.10000000000002
429.0,447.0,429.0,442.65,441.42,13873,612377585000.0,527.7761150158573,455.8175,383.8588849841427,43.50555559744366,23.346775613890422,5.745064183172275,486.64823215729274,24.08923940223163,35.714285714285715,0.0,18.0
430.0,449.9,423.0,443.0,442.42,23610,1044547310000.0,522.218446407921,452.98249999999996,383.746553592079,43.68892975897584,26.983351659115733,6.403457349386443,483.8322171794029,24.180843029424157,28.571428571428573,0.0,26.899999999999977
431.25,454.95,431.25,452.65,448.67,12186,546743480000.0,511.1582012798328,449.525,387.8917987201672,48.781915827922994,31.432053790969952,7.422116101976428,481.82046123234466,24.042340969481618,21.42857142857143,50.0,23.69999999999999
452.65,475.0,438.0,467.9,464.28,15674,727719675000.0,502.9876101320551,447.37249999999995,391.75738986794477,55.80114952427155,37.283714516931425,8.95364498298077,480.9223669592902,23.07159890180871,14.285714285714286,42.85714285714286,37.0
465.0,497.0,465.0,482.2,484.09,46278,2240262370000.0,493.78495202777736,445.58000000000004,397.3750479722227,61.32364751311322,43.14962128412138,10.645311701176915,481.0047948974005,21.48421033821562,7.142857142857143,100.0,32.0
495.0,535.0,470.15,515.3,502.16,127300,6392449305000.0,496.4588690290487,446.005,395.5511309709513,70.72959861784295,48.23269913879522,13.524179009704717,483.2173887749875,21.14252529273971,0.0,100.0,64.85000000000002
510.0,530.0,505.0,517.5,516.07,40717,2101274939999.9998,505.6903070480553,447.9325,390.17469295194473,71.24602366255958,53.4342412657215,14.993455515350213,485.4291701443432,20.825246321940647,7.142857142857143,92.85714285714286,25.0
535.0,592.0,528.0,540.5,557.45,235630,13135208335000.0,522.2110243270985,451.8625,381.51397567290155,76.13672656380626,57.16435411289117,16.795440201194385,488.98212690922423,21.91259887878531,0.0,100.0,64.0
550.0,550.0,512.5,523.7,531.13,54384,2888490365000.0,532.5785164964386,455.62250000000006,378.6664835035615,66.90148864951618,59.45359216412003,16.133273688358226,491.22198968927427,22.350368427453866,35.714285714285715,92.85714285714286,37.5
